diagnostico,frase,resposta
depressão,sinto triste forças fazer atividades dia dia,"Sinto muito que esteja se sentindo assim. Vamos tentar, passo a passo, encontrar algo que te ajude a recuperar suas energias."
ansiedade,medo constante algo ruim vá acontecer,Isso deve ser muito desgastante. Vamos trabalhar juntos para entender o que está causando esse medo e como podemos lidar com ele.
burnout,sinto limite qualquer coisa esgota,Parece que você está sobrecarregado(a). Vamos falar sobre como redistribuir sua energia e encontrar um equilíbrio.
ansiedade,sinto angústia constante peito sei fazer,Entendo que essa sensação de angústia pode ser muito desconfortável. Vamos explorar maneiras de aliviar essa tensão.
depressão,vezes parece vida perdeu sentido,"É muito difícil quando nos sentimos assim. Estou aqui para te ajudar a encontrar sentido novamente, aos poucos."
ansiedade,dificuldade dormir mente,Isso deve ser muito cansativo. Vamos explorar técnicas que podem ajudar a acalmar sua mente à noite.
burnout,consigo concentrar trabalho tudo parece impossível,É normal se sentir assim quando estamos sobrecarregados. Vamos procurar estratégias para aliviar essa pressão.
depressão,sinto falhando tudo faço,Lamento que se sinta assim. Vamos trabalhar para enxergar as pequenas vitórias e reduzir essa pressão que coloca sobre si mesmo.
ansiedade,sempre preocupado futuro mal consigo relaxar,Essa preocupação constante pode ser muito exaustiva. Vamos falar sobre o que pode estar alimentando esses pensamentos e como lidar com eles.
pânico,coração acelera motivo aparente fico medo,Esses sintomas podem ser assustadores. Vamos falar sobre como lidar com esses momentos e entender suas causas.
pânico,medo sair casa sinto algo vai acontecer,Esse medo pode ser paralisante. Vamos encontrar maneiras de reconstruir sua confiança para enfrentar esses momentos.
burnout,sinto exaustão passa dormir,Isso pode ser um sinal de que você está esgotado(a) emocional e fisicamente. Vamos explorar como recuperar sua energia.
ansiedade,parece sempre ansioso algo ruim prestes acontecer,Essa sensação constante pode ser muito desgastante. Vamos trabalhar em técnicas para ajudar a acalmar sua mente.
depressão,crises choro motivo aparente,Sei que pode ser muito difícil lidar com esses sentimentos. Estou aqui para te apoiar e juntos podemos entender o que está acontecendo.
depressão,sinto vazio dentro mim nada importasse,Isso pode ser muito doloroso de suportar. Vamos juntos encontrar formas de preencher esse vazio e trazer de volta o sentido.
depressão,sinto sempre cansado peso mundo sobre mim,Parece que você está carregando muita coisa. Vamos procurar maneiras de aliviar essa carga emocional.
ansiedade,mente nunca descansa sempre preocupadoa,Deve ser muito difícil estar constantemente em alerta. Vamos buscar formas de trazer mais tranquilidade para o seu dia a dia.
depressão,sinto bom suficiente nada,Entendo que esse sentimento pode ser esmagador. Vamos falar sobre suas conquistas e como reverter esses pensamentos.
pânico,medo perder controle fazer algo ruim,"Esse medo pode ser assustador, mas podemos aprender juntos como lidar com essas sensações de forma segura."
burnout,sinto vivendo piloto automático motivação,Parece que você está esgotado(a). Vamos explorar o que está acontecendo e como recuperar sua energia e propósito.
depressão,consigo encontrar alegria coisas antes faziam feliz,Isso deve ser muito frustrante. Vamos juntos explorar maneiras de redescobrir a alegria em sua vida.
ansiedade,fico nervoso situações parecem normais outras pessoas,Parece que essas situações estão te sobrecarregando. Vamos trabalhar em como torná-las menos estressantes para você.
burnout,sinto carregando mundo costas,Essa sensação de peso pode ser exaustiva. Vamos descobrir como aliviar essa carga e encontrar mais equilíbrio.
pânico,sinto medo constante perder controle público,"Esses momentos podem ser assustadores, mas podemos trabalhar juntos para aprender a gerenciar melhor essas sensações."
depressão,vontade levantar cama fazer coisas simples,Isso deve ser muito difícil. Vamos trabalhar juntos para tentar encontrar pequenos passos que possam te ajudar a sair dessa situação.
ansiedade,mente sempre pensando pior cenário possível,Isso pode ser muito desgastante. Vamos explorar maneiras de desacelerar esses pensamentos e focar no presente.
burnout,sinto esgotadoa mental fisicamente,Você parece estar no limite. Vamos falar sobre como podemos redistribuir sua energia e ajudar a aliviar essa exaustão.
ansiedade,medo fazer algo errado tempo todo,Esse medo constante deve ser muito angustiante. Vamos falar sobre como podemos reduzir essa pressão sobre si mesmo(a).
depressão,sinto presoa ciclo consigo quebrar,Sei que isso pode ser difícil. Vamos explorar maneiras de romper esse ciclo e trazer mais leveza para sua vida.
pânico,coração acelera sinto vou desmaiar,Esses sintomas podem ser muito assustadores. Vamos falar sobre como lidar com esses momentos e entender suas causas.
ansiedade,fico irritadoa facilidade sinto culpadoa,Esses sentimentos são compreensíveis. Vamos explorar maneiras de lidar com a irritação sem se sentir culpado depois.
depressão,sinto sempre cansadoa ter feito,Isso pode ser muito difícil de lidar. Vamos tentar entender melhor essa falta de energia e como recuperar sua disposição.
burnout,consigo desligar mente sempre pensando fazer,Parece que sua mente está sobrecarregada. Vamos trabalhar juntos para encontrar formas de relaxar e diminuir a pressão.
